FT_ID,lodgeNumber,lodgeType,year,trailLength,season
3557_FT19,3557,Pond,2017,8,springStatus
3557_FT20,3557,Pond,2017,11,springStatus
3557_FT22,3557,Pond,2017,8,springStatus
3557_FT23,3557,Pond,2017,18,springStatus
3557_FT27,3557,Pond,2017,11,springStatus
3557_FT28,3557,Pond,2017,14,springStatus
3557_FT29,3557,Pond,2017,6,springStatus
3557_FT30,3557,Pond,2017,8,springStatus
3557_FT31,3557,Pond,2017,4,springStatus
3557_FT32,3557,Pond,2017,4,springStatus
3557_FT34,3557,Pond,2017,11,springStatus
2288_FT04,2288,Pond,2017,5,springStatus
2288_FT05,2288,Pond,2017,5,springStatus
2288_FT12,2288,Pond,2017,4,springStatus
2288_FT30,2288,Pond,2017,6,springStatus
2288_FT32,2288,Pond,2017,8,springStatus
2288_FT33,2288,Pond,2017,15,springStatus
2288_FT34,2288,Pond,2017,12,springStatus
2288_FT35,2288,Pond,2017,15,springStatus
2288_FT36,2288,Pond,2017,6,springStatus
2288_FT37,2288,Pond,2017,11,springStatus
2288_FT38,2288,Pond,2017,10,springStatus
2288_FT39,2288,Pond,2017,2,springStatus
2286_FT12,2286,Pond,2017,4,springStatus
2286_FT13,2286,Pond,2017,6,springStatus
2286_FT14,2286,Pond,2017,11,springStatus
2286_FT15,2286,Pond,2017,5,springStatus
3821_FT01,3821,Pond,2017,15,springStatus
3821_FT02,3821,Pond,2017,8,springStatus
3821_FT03,3821,Pond,2017,5,springStatus
3821_FT04,3821,Pond,2017,4,springStatus
3821_FT06,3821,Pond,2017,6,springStatus
3821_FT07,3821,Pond,2017,8,springStatus
3821_FT08,3821,Pond,2017,7,springStatus
3821_FT12,3821,Pond,2017,7,springStatus
3566_FT01,3566,Lake,2017,5,springStatus
3566_FT02,3566,Lake,2017,4,springStatus
3566_FT04,3566,Lake,2017,6,springStatus
3566_FT11,3566,Lake,2017,8,springStatus
3566_FT12,3566,Lake,2017,9,springStatus
3566_FT13,3566,Lake,2017,14,springStatus
3566_FT22,3566,Lake,2017,21,springStatus
3566_FT23,3566,Lake,2017,15,springStatus
3211_FT04,3211,Lake,2017,7,springStatus
3211_FT05,3211,Lake,2017,10,springStatus
3211_FT07,3211,Lake,2017,18,springStatus
3211_FT08,3211,Lake,2017,3,springStatus
1007_FT01,1007,Lake,2018,7,springStatus
1007_FT04,1007,Lake,2018,22,springStatus
1007_FT05,1007,Lake,2018,7,springStatus
1007_FT06,1007,Lake,2018,11,springStatus
1007_FT07,1007,Lake,2018,9,springStatus
1007_FT08,1007,Lake,2018,13,springStatus
1007_FT09,1007,Lake,2018,24,springStatus
1007_FT10,1007,Lake,2018,13,springStatus
1007_FT11,1007,Lake,2018,12,springStatus
1007_FT12,1007,Lake,2018,10,springStatus
1007_FT13,1007,Lake,2018,4,springStatus
1007_FT15,1007,Lake,2018,8,springStatus
1007_FT16,1007,Lake,2018,10,springStatus
1007_FT17,1007,Lake,2018,13,springStatus
1007_FT18,1007,Lake,2018,11,springStatus
3224_FT02,3224,Pond,2018,13,springStatus
3224_FT03,3224,Pond,2018,11,springStatus
3224_FT04,3224,Pond,2018,9,springStatus
3224_FT06,3224,Pond,2018,30,springStatus
3224_FT07,3224,Pond,2018,18,springStatus
3224_FT08,3224,Pond,2018,28,springStatus
3224_FT10,3224,Pond,2018,9,springStatus
3224_FT11,3224,Pond,2018,13,springStatus
3224_FT12,3224,Pond,2018,11,springStatus
3224_FT13,3224,Pond,2018,14,springStatus
3224_FT14,3224,Pond,2018,21,springStatus
3224_FT15,3224,Pond,2018,19,springStatus
3224_FT16,3224,Pond,2018,32,springStatus
1096_FT01,1096,Lake,2018,13,springStatus
1096_FT02,1096,Lake,2018,16,springStatus
1096_FT03,1096,Lake,2018,37,springStatus
1115_FT01,1115,Pond,2018,6,springStatus
1115_FT02,1115,Pond,2018,9,springStatus
1115_FT03,1115,Pond,2018,6,springStatus
1115_FT04,1115,Pond,2018,11,springStatus
1115_FT06,1115,Pond,2018,10,springStatus
1115_FT07,1115,Pond,2018,6,springStatus
1115_FT08,1115,Pond,2018,31,springStatus
1115_FT10,1115,Pond,2018,18,springStatus
3558_FT01,3558,Pond,2018,6,springStatus
