FT_ID,lodgeNumber,lodgeType,year,seasonIdent,trailLength
1019_FT35,1019,Lake,2017,Spring,35
1019_FT36,1019,Lake,2017,Spring,10
1019_FT37,1019,Lake,2017,Summer,12
1019_FT38,1019,Lake,2017,Fall,16
1019_FT40,1019,Lake,2017,Fall,8
1019_FT42,1019,Lake,2017,Summer,8
1019_FT43,1019,Lake,2017,Spring,7
1019_FT44,1019,Lake,2017,Spring,11
1019_FT45,1019,Lake,2017,Spring,7
1019_FT46,1019,Lake,2017,Spring,5
1019_FT47,1019,Lake,2017,Spring,10
1019_FT48,1019,Lake,2017,Summer,17
1019_FT49,1019,Lake,2017,Summer,9
1019_FT50,1019,Lake,2017,Spring,13
1019_FT51,1019,Lake,2017,Spring,15
1019_FT52,1019,Lake,2017,Spring,6
1019_FT53,1019,Lake,2017,Summer,4
1019_FT54,1019,Lake,2017,Spring,15
1019_FT55,1019,Lake,2017,Summer,9
1019_FT56,1019,Lake,2017,Spring,15
1019_FT57,1019,Lake,2017,Spring,14
1019_FT59,1019,Lake,2017,Spring,6
1019_FT60,1019,Lake,2017,Spring,5
1019_FT61,1019,Lake,2017,Spring,10
1019_FT62,1019,Lake,2017,Spring,13
1019_FT63,1019,Lake,2017,Summer,13
1019_FT64,1019,Lake,2017,Spring,5
1019_FT65,1019,Lake,2017,Spring,7
1019_FT66,1019,Lake,2017,Summer,7
1019_FT67,1019,Lake,2017,Summer,8
1019_FT68,1019,Lake,2017,Summer,18
1019_FT69,1019,Lake,2017,Summer,12
1019_FT70,1019,Lake,2017,Summer,7
1019_FT71,1019,Lake,2017,Fall,27
1019_FT72,1019,Lake,2017,Fall,5
1019_FT73,1019,Lake,2017,Fall,3
1019_FT74,1019,Lake,2017,Fall,19
1019_FT75,1019,Lake,2017,Fall,13
1019_FT76,1019,Lake,2017,Fall,14
1019_FT77,1019,Lake,2017,Fall,14
1019_FT78,1019,Lake,2017,Fall,14
1019_FT79,1019,Lake,2017,Fall,15
1019_FT80,1019,Lake,2017,Fall,28
1019_FT81,1019,Lake,2017,Fall,15
1019_FT82,1019,Lake,2017,Fall,18
1019_FT83,1019,Lake,2017,Fall,20
1019_FT84,1019,Lake,2017,Fall,32
1019_FT86,1019,Lake,2017,Fall,37
1019_FT87,1019,Lake,2017,Fall,27
1019_FT88,1019,Lake,2017,Fall,33
1019_FT89,1019,Lake,2017,Fall,31
1019_FT90,1019,Lake,2017,Fall,27
1019_FT91,1019,Lake,2017,Fall,10
1019_FT92,1019,Lake,2017,Fall,18
1019_FT93,1019,Lake,2017,Fall,20
1019_FT94,1019,Lake,2017,Fall,9
1019_FT95,1019,Lake,2017,Fall,8
1019_FT96,1019,Lake,2017,Fall,13
3550_FT01,3550,Lake,2017,Spring,3
3550_FT02,3550,Lake,2017,Spring,11
3550_FT03,3550,Lake,2017,Spring,21
3550_FT04,3550,Lake,2017,Spring,44
3550_FT05,3550,Lake,2017,Spring,30
3550_FT06,3550,Lake,2017,Spring,20
3550_FT07,3550,Lake,2017,Spring,20
3550_FT11,3550,Lake,2017,Summer,17
3550_FT12,3550,Lake,2017,Spring,63
3550_FT13,3550,Lake,2017,Spring,50
3550_FT15,3550,Lake,2017,Summer,30
3550_FT16,3550,Lake,2017,Spring,60
3550_FT17,3550,Lake,2017,Spring,32
3550_FT18,3550,Lake,2017,Spring,46
3550_FT21,3550,Lake,2017,Summer,25
3550_FT22,3550,Lake,2017,Summer,10
3550_FT23,3550,Lake,2017,Summer,22
3550_FT24,3550,Lake,2017,Summer,18
3550_FT25,3550,Lake,2017,Summer,13
3550_FT26,3550,Lake,2017,Summer,24
3550_FT27,3550,Lake,2017,Summer,18
3550_FT28,3550,Lake,2017,Summer,15
3557_FT01,3557,Pond,2017,Summer,13
3557_FT03,3557,Pond,2017,Spring,15
3557_FT04,3557,Pond,2017,Summer,15
3557_FT05,3557,Pond,2017,Summer,17
3557_FT42,3557,Pond,2017,Summer,17
3557_FT07,3557,Pond,2017,Spring,22
3557_FT08,3557,Pond,2017,Spring,19
3557_FT09,3557,Pond,2017,Summer,7
3557_FT10,3557,Pond,2017,Spring,19
3557_FT11,3557,Pond,2017,Spring,10
3557_FT13,3557,Pond,2017,Summer,13
3557_FT14,3557,Pond,2017,Spring,14
3557_FT43,3557,Pond,2017,Spring,10
3557_FT15,3557,Pond,2017,Summer,6
3557_FT17,3557,Pond,2017,Spring,9
3557_FT18,3557,Pond,2017,Spring,10
3557_FT19,3557,Pond,2017,Spring,8
3557_FT20,3557,Pond,2017,Spring,12
3557_FT22,3557,Pond,2017,Spring,9
3557_FT23,3557,Pond,2017,Spring,19
3557_FT24,3557,Pond,2017,Summer,27
3557_FT25,3557,Pond,2017,Summer,15
3557_FT26,3557,Pond,2017,Summer,9
3557_FT27,3557,Pond,2017,Spring,12
3557_FT28,3557,Pond,2017,Spring,14
3557_FT29,3557,Pond,2017,Spring,6
3557_FT30,3557,Pond,2017,Spring,9
3557_FT31,3557,Pond,2017,Spring,5
3557_FT32,3557,Pond,2017,Spring,5
3557_FT33,3557,Pond,2017,Summer,18
3557_FT34,3557,Pond,2017,Spring,12
3557_FT35,3557,Pond,2017,Summer,9
3557_FT36,3557,Pond,2017,Summer,11
3557_FT37,3557,Pond,2017,Summer,20
3557_FT38,3557,Pond,2017,Summer,8
3557_FT41,3557,Pond,2017,Fall,16
2288_FT02,2288,Pond,2017,Summer,8
2288_FT03,2288,Pond,2017,Summer,9
2288_FT04,2288,Pond,2017,Spring,6
2288_FT05,2288,Pond,2017,Spring,6
2288_FT06,2288,Pond,2017,Summer,7
2288_FT07,2288,Pond,2017,Summer,4
2288_FT08,2288,Pond,2017,Fall,4
2288_FT09,2288,Pond,2017,Summer,5
2288_FT10,2288,Pond,2017,Fall,9
2288_FT11,2288,Pond,2017,Summer,7
2288_FT12,2288,Pond,2017,Spring,5
2288_FT14,2288,Pond,2017,Summer,11
2288_FT49,2288,Pond,2017,Summer,10
2288_FT16,2288,Pond,2017,Summer,10
2288_FT20,2288,Pond,2017,Summer,18
2288_FT30,2288,Pond,2017,Spring,7
2288_FT32,2288,Pond,2017,Spring,8
2288_FT33,2288,Pond,2017,Spring,15
2288_FT34,2288,Pond,2017,Spring,12
2288_FT35,2288,Pond,2017,Spring,15
2288_FT36,2288,Pond,2017,Spring,6
2288_FT37,2288,Pond,2017,Spring,11
2288_FT38,2288,Pond,2017,Spring,10
2288_FT39,2288,Pond,2017,Spring,3
2288_FT40,2288,Pond,2017,Summer,18
2288_FT41,2288,Pond,2017,Summer,10
2288_FT42,2288,Pond,2017,Summer,10
2288_FT43,2288,Pond,2017,Summer,13
2288_FT44,2288,Pond,2017,Summer,13
2288_FT45,2288,Pond,2017,Summer,21
2288_FT46,2288,Pond,2017,Summer,22
2286_FT12,2286,Pond,2017,Spring,5
2286_FT13,2286,Pond,2017,Spring,6
2286_FT14,2286,Pond,2017,Spring,12
2286_FT15,2286,Pond,2017,Spring,6
3821_FT01,3821,Pond,2017,Spring,16
3821_FT02,3821,Pond,2017,Spring,9
3821_FT03,3821,Pond,2017,Spring,5
3821_FT04,3821,Pond,2017,Spring,5
3821_FT06,3821,Pond,2017,Spring,7
3821_FT07,3821,Pond,2017,Spring,9
3821_FT08,3821,Pond,2017,Spring,7
3821_FT12,3821,Pond,2017,Spring,7
3566_FT01,3566,Lake,2017,Spring,5
3566_FT02,3566,Lake,2017,Spring,5
3566_FT04,3566,Lake,2017,Spring,7
3566_FT11,3566,Lake,2017,Spring,9
3566_FT12,3566,Lake,2017,Spring,10
3566_FT13,3566,Lake,2017,Spring,14
3566_FT22,3566,Lake,2017,Spring,21
3566_FT23,3566,Lake,2017,Spring,15
3211_FT04,3211,Lake,2017,Spring,7
3211_FT05,3211,Lake,2017,Spring,11
3211_FT07,3211,Lake,2017,Spring,18
3211_FT08,3211,Lake,2017,Spring,3
1058_FT01,1058,Lake,2017,Summer,9
1058_FT02,1058,Lake,2017,Summer,4
1058_FT03,1058,Lake,2017,Summer,6
1058_FT04,1058,Lake,2017,Summer,7
1058_FT05,1058,Lake,2017,Summer,14
1058_FT06,1058,Lake,2017,Summer,7
1058_FT07,1058,Lake,2017,Summer,4
1058_FT08,1058,Lake,2017,Summer,4
1058_FT09,1058,Lake,2017,Summer,14
1058_FT10,1058,Lake,2017,Summer,23
1058_FT11,1058,Lake,2017,Summer,12
1180_FT01,1180,Lake,2017,Summer,20
1180_FT02,1180,Lake,2017,Summer,7
1180_FT03,1180,Lake,2017,Summer,18
1180_FT05,1180,Lake,2017,Summer,20
1180_FT06,1180,Lake,2017,Summer,8
1180_FT07,1180,Lake,2017,Summer,10
1180_FT08,1180,Lake,2017,Summer,12
1180_FT09,1180,Lake,2017,Summer,19
1066_FT01,1066,Lake,2017,Summer,47
1066_FT02,1066,Lake,2017,Summer,11
1066_FT04,1066,Lake,2017,Fall,17
2802_FT01,2802,Lake,2017,Fall,52
2802_FT02,2802,Lake,2017,Fall,69
2802_FT03,2802,Lake,2017,Fall,69
2802_FT04,2802,Lake,2017,Fall,77
2802_FT05,2802,Lake,2017,Fall,28
2802_FT06,2802,Lake,2017,Fall,37
2802_FT07,2802,Lake,2017,Fall,37
2802_FT08,2802,Lake,2017,Fall,43
1537_FT02,1537,Lake,2017,Fall,4
1537_FT03,1537,Lake,2017,Fall,6
1537_FT04,1537,Lake,2017,Fall,25
1537_FT05,1537,Lake,2017,Fall,16
1537_FT06,1537,Lake,2017,Fall,7
3198_FT01,3198,Lake,2017,Fall,22
3198_FT02,3198,Lake,2017,Fall,15
3198_FT04,3198,Lake,2017,Fall,28
3198_FT05,3198,Lake,2017,Fall,9
1007_FT01,1007,Lake,2018,Spring,7
1007_FT04,1007,Lake,2018,Spring,22
1007_FT05,1007,Lake,2018,Spring,8
1007_FT06,1007,Lake,2018,Spring,12
1007_FT07,1007,Lake,2018,Spring,9
1007_FT08,1007,Lake,2018,Spring,13
1007_FT09,1007,Lake,2018,Spring,24
1007_FT10,1007,Lake,2018,Spring,13
1007_FT11,1007,Lake,2018,Spring,13
1007_FT12,1007,Lake,2018,Spring,11
1007_FT13,1007,Lake,2018,Spring,5
1007_FT15,1007,Lake,2018,Spring,8
1007_FT16,1007,Lake,2018,Spring,10
1007_FT17,1007,Lake,2018,Spring,14
1007_FT18,1007,Lake,2018,Spring,12
1007_FT19,1007,Lake,2018,Summer,14
1007_FT20,1007,Lake,2018,Summer,5
1007_FT21,1007,Lake,2018,Summer,12
1007_FT22,1007,Lake,2018,Summer,5
1007_FT23,1007,Lake,2018,Summer,7
1007_FT24,1007,Lake,2018,Summer,16
