beavCaptID,camDeployID,lodgeNumber,lodgeType,Season,inOutWater,timeOnLand
7984,396,197,Lake,Summer,Yes,17
7985,396,197,Lake,Summer,Yes,11
7987,396,197,Lake,Summer,Yes,12
7988,396,197,Lake,Summer,Yes,8
7989,396,197,Lake,Summer,Yes,17
7990,396,197,Lake,Summer,Yes,14
7993,396,197,Lake,Summer,Yes,7
7994,396,197,Lake,Summer,Yes,21
7995,396,197,Lake,Summer,Yes,21
7996,396,197,Lake,Summer,Yes,6
7997,396,197,Lake,Summer,Yes,19
8000,396,197,Lake,Summer,Yes,19
8004,396,197,Lake,Summer,Yes,12
8005,396,197,Lake,Summer,Yes,26
8007,396,197,Lake,Summer,Yes,27
8008,396,197,Lake,Summer,Yes,3
8009,396,197,Lake,Summer,Yes,5
8013,396,197,Lake,Summer,Yes,14
8014,396,197,Lake,Summer,Yes,4
8016,396,197,Lake,Summer,Yes,10
8017,396,197,Lake,Summer,Yes,10
8018,396,197,Lake,Summer,Yes,8
8019,396,197,Lake,Summer,Yes,11
8020,396,197,Lake,Summer,Yes,2
8022,396,197,Lake,Summer,Yes,8
8024,396,197,Lake,Summer,Yes,14
8026,396,197,Lake,Summer,Yes,9
8027,396,197,Lake,Summer,Yes,8
8031,396,197,Lake,Summer,Yes,18
8033,396,197,Lake,Summer,Yes,3
8034,396,197,Lake,Summer,Yes,27
8038,396,197,Lake,Summer,Yes,3
8039,396,197,Lake,Summer,Yes,6
8040,396,197,Lake,Summer,Yes,18
8043,396,197,Lake,Summer,Yes,2
8046,396,197,Lake,Summer,Yes,17
8052,396,197,Lake,Summer,Yes,5
8053,396,197,Lake,Summer,Yes,7
8054,396,197,Lake,Summer,Yes,17
8055,396,197,Lake,Summer,Yes,29
8056,396,197,Lake,Summer,Yes,2
8057,396,197,Lake,Summer,Yes,24
8058,396,197,Lake,Summer,Yes,14
8059,396,197,Lake,Summer,Yes,20
8060,396,197,Lake,Summer,Yes,15
8061,396,197,Lake,Summer,Yes,4
8062,396,197,Lake,Summer,Yes,13
8065,396,197,Lake,Summer,Yes,6
8066,396,197,Lake,Summer,Yes,16
8069,396,197,Lake,Summer,Yes,3
8070,396,197,Lake,Summer,Yes,23
8073,396,197,Lake,Summer,Yes,10
8075,396,197,Lake,Summer,Yes,9
8076,396,197,Lake,Summer,Yes,13
8077,396,197,Lake,Summer,Yes,15
8078,396,197,Lake,Summer,Yes,22
8079,396,197,Lake,Summer,Yes,21
8080,396,197,Lake,Summer,Yes,2
8081,396,197,Lake,Summer,Yes,19
8084,396,197,Lake,Summer,Yes,10
8085,396,197,Lake,Summer,Yes,9
8086,396,197,Lake,Summer,Yes,25
8088,396,197,Lake,Summer,Yes,21
8089,396,197,Lake,Summer,Yes,7
8092,396,197,Lake,Summer,Yes,25
8093,396,197,Lake,Summer,Yes,28
8095,396,197,Lake,Summer,Yes,13
8096,396,197,Lake,Summer,Yes,21
8102,396,197,Lake,Summer,Yes,12
8103,396,197,Lake,Summer,Yes,11
8108,396,197,Lake,Summer,Yes,23
8109,396,197,Lake,Summer,Yes,20
8110,396,197,Lake,Summer,Yes,28
8111,396,197,Lake,Summer,Yes,3
8112,396,197,Lake,Summer,Yes,20
8113,396,197,Lake,Summer,Yes,2
8115,396,197,Lake,Summer,Yes,10
8116,396,197,Lake,Summer,Yes,20
